-10.7603,2.54E-20
14.0457,5.79E-07
-5.44888,5.87E-14
8.67289,0.00401848
6.48864,1.67E-17
16.7798,4.93E-18
-8.98557,2.47E-09
12.1214,0.000215576
-0.334285,1.33E-09
12.4752,8.15E-06
-12.9506,7.19E-18
-13.2928,4.02E-35
3.14903,1.84E-11
12.434,0.0486191
7.4416,0.00230682
8.03183,5.60E-28
-4.18595,2.58E-12
13.632,2.60E-14
-2.5153,1.06E-10
9.82746,2.03E-09
16.0469,3.73E-13
14.2928,2.08E-126
-2.93161,1.77E-42
-5.65976,4.03E-34
1.6671,3.24E-14
-11.4058,0.0111841
-3.99766,2.83E-10
12.2889,0.00114148
13.0653,0.00396778
9.8914,0.0673041
-6.53301,6.18E-13
-2.55373,2.06E-20
-4.16504,1.18E-30
4.50258,1.68E-10
11.3754,1.02E-11
8.08129,1.06E-14
-8.86846,6.44E-32
5.00908,1.57E-06
15.4146,3.30E-23
14.7674,6.77E-18
15.1478,2.77E-13
9.7715,0.132396
-12.3847,0.0233579
12.5622,1.05E-34
15.0249,4.98E-23
-10.6583,0.139708
14.9134,3.32E-21
15.5565,1.53E-12
-12.608,1.87E-10
16.0331,2.73E-23
9.66599,2.32E-05
13.6525,4.43E-09
-11.5259,3.13E-16
-6.29227,1.45E-11
-0.775451,1.37E-10
17.712,5.28E-47
11.2253,0.23145
-0.693764,9.06E-28
9.50294,6.16E-15
-3.94178,9.93E-27
13.4183,3.67E-10
-5.17761,1.41E-05
17.5647,4.06E-85
-5.22449,8.79E-06
19.6072,3.66E-51
16.146,3.01E-231
15.299,5.32E-19
10.7788,1.60E-05
-8.26648,5.86E-15
-1.14881,8.59E-35
-5.72783,1.69E-21
10.9572,0.316879
-0.0327941,1.48E-21
8.82975,3.06E-34
-3.67016,1.16E-11
11.0713,3.97E-19
-10.7097,4.77E-22
-10.8626,8.07E-10
9.20091,6.25E-07
5.21128,7.33E-06
7.8359,8.85E-34
9.82006,4.52E-05
-2.66245,1.93E-09
14.7247,1.81E-18
15.004,3.96E-16
-10.272,1.73E-13
12.5481,1.56E-16
-8.04568,0.00147342
-5.60893,1.67E-10
-5.01909,1.31E-06
11.2381,0.0115675
4.66889,4.02E-07
14.6146,1.94E-18
15.128,2.90E-14
12.7178,1.21E-06
-14.1898,9.01E-22
-8.01999,1.55E-05
-8.4036,0.00426557
9.09948,2.09E-33
10.1003,6.89E-25
